name,our_price,retail_price,description,description_full,image_folder,images,status
SportRack 4 Bike Hitch Rack,160,250,"Holds 4 bikes and super sturdy","This hitch rack holds 4 bikes and is super sturdy. It has a 2 inch receiver for your vehicle. Max weight 180lbs.",SportRack 4 Bike Hitch Rack,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,only 1 left
Evenflo Pivot Xplore Stroller Wagon,350,599,"Converts between stroller and wagon, fits 2 kids.","Evenflo Pivot Xplore All-Terrain Stroller Wagon — flips between push (stroller) and pull (wagon) mode with a three-position telescoping handle. Fits up to 2 children from 6 months to 5 years (55 lb per seat, 110 lb total). Features all-terrain wheels for pavement, sand, and trails, a UPF 50+ canopy, 3-point safety harnesses, flip-flop-friendly brakes, and a compact fold for storage.",Evenflo Pivot Xplore Stroller Wagon,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,only 2 left
Yardworks 20V Cordless Patio Cleaner,150,300,Cordless patio cleaner kit with battery and charger for outdoor cleaning.,"Yardworks 20V cordless patio cleaner, powered by an included 4.0Ah battery and charger. Designed to scrub dirt, grime, and moss off patios, decks, and walkways without a hose. Lightweight and cordless for easy maneuvering around outdoor surfaces, offering quick, convenient cleaning without needing an electrical outlet nearby.",Yardworks 20V Cordless Patio Cleaner,"1.jpg;2.jpg;3.jpg;4.jpg;5.jpg",available
Evenflo 4-in-1 Eat & Grow High Chair,100,155,Convertible high chair that grows with your child through four feeding and play stages.,"Converts from infant high chair to toddler dining chair with tray, standalone toddler chair, and big kid table and chair. For children 6 months up to 50 lbs. Includes 5-point safety harness, removable tray, and machine-washable seat pad for easy cleaning.",Evenflo 4-in-1 Eat & Grow High Chair,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
Mastercraft 69-pc Screwdriver Set,30,55,69-piece screwdriver set with wall-mountable storage stand.,"Includes 8 precision drivers, 6 nut drivers, 16 hex keys, 20 screwdriver bits, a multi-bit driver, a 3"" awl, and a 3"" hook, all organized in a wall-mountable stand. Contoured triangular handles give an ergonomic grip, chrome-vanadium steel blades add durability, and stamped size markings make identification quick.",Mastercraft 69-pc Screwdriver Set,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
Mastercraft 8-Outlet Power Bar,20,38,"8-outlet power bar with 6-ft cord and circuit breaker.","Features 5 regular and 3 widely spaced outlets for large adapter plugs, a lighted on/off switch with a built-in circuit breaker, and durable steel housing. Includes a wall-mount wrap and a 6-foot grounded cord for extended reach in the shop or garage.",Mastercraft 8-Outlet Power Bar,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
Everlast Core Freestanding Heavy Bag,200,300,Freestanding heavy bag with adjustable height and water/sand base.,"Freestanding heavy bag with an air-foam chamber for realistic impact, power transfer rings to reduce base movement, and a rounded design for easy movement. Adjustable height 57""-65"". High-density base holds up to 250 lbs of water or 370 lbs of sand for stability. Not recommended for outdoor use.",Everlast Core Freestanding Heavy Bag,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
WorkPro 6-Piece Pliers Set,20,29,6-piece pliers set with non-slip TPR handles.,"Six-piece pliers set including 6-inch long nose, diagonal, and slip joint pliers, an 8-inch groove joint plier, and mini long nose and diagonal pliers. Features durable heat-treated steel construction, corrosion resistance, and non-slip yellow and black TPR handles. Suitable for electrical, contractor, and DIY use.",WorkPro 6-Piece Pliers Set,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
Black+Decker 10-Speed Countertop Blender,50,70,550W countertop blender with 10 speeds and pulse control.,"A 550-watt countertop blender with 10 speed settings plus pulse control for ice-crushing power. Features a removable 4-point stainless steel blade and a 5-cup glass jar. All removable parts are dishwasher-safe for easy cleanup. Handles smoothies, frozen drinks, soups, and purees.",Black+Decker 10-Speed Countertop Blender,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
Mastercraft Freestanding Vertical Bike Rack,30,50,Freestanding vertical rack that stores one bike upright,"A freestanding vertical bike rack that holds one bike upright to save floor space in a garage, apartment, or storage area. No wall mounting or drilling needed — just stand it in place. Sturdy steel construction with a black finish, built to hold a single bike securely.",Mastercraft Freestanding Vertical Bike Rack,1.jpg;2.jpg;3.jpg;4.jpg;5.jpg,available
